"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPP40",73.3052472416372,0.312805748358744,0.294694205953018,1.06145876654464,0.288481462217714,NA
"IQGAP2",63.5040695228952,0.31281337702174,0.451936612379306,0.692162060902468,0.488835561289293,NA
"LINC01116",55.7880469291921,0.313088947334736,0.337848456060745,0.926714157540632,0.354074964872947,NA
"LPAR6",106.103159131293,0.313660840449853,0.225066681294816,1.39363516023497,0.163427805338102,NA
"TIPIN",109.784857285285,0.313695351148618,0.255480680198957,1.22786330028684,0.219498288321015,NA
"NEGR1",34.1182999770691,0.314117121884348,0.444375271850835,0.706873540861177,0.479645068071638,NA
"SPATA7",68.5595216077662,0.314821954828477,0.331064457853659,0.950938547947779,0.341635572015524,NA
"FOLH1",159.758765205445,0.315241109235407,0.20716997149579,1.52165445097729,0.128095686261707,NA
"ERV3-1",97.8151201199496,0.315826527553305,0.338100832666232,0.934119342631388,0.350242335381936,NA
"PCDHGB5",56.495663846808,0.315966841295726,0.30320226462236,1.04209921284481,0.297365683498853,NA
"ACTRT3",28.9832706936818,0.316573617697167,0.407683541976059,0.776518022196142,0.437443183904669,NA
"MAP2K6",113.719431652567,0.317221174444075,0.227014410289198,1.39736140115494,0.162304920189038,NA
"OSER1-AS1",14.500155478452,0.317312859417498,0.664517197733754,0.477508874863812,0.632999802696247,NA
"ZNF43",88.7838542886248,0.317502002271178,0.27140717165996,1.1698364502651,0.242066791982422,NA
"GBP4",473.454149016826,0.31768841844781,0.138429309360217,2.29495054129852,0.0217359588685332,NA
"CPEB3",26.201581238291,0.318185464823115,0.423594610946163,0.751155601607865,0.452559016627453,NA
